id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13140473,Inner City Home Away From Home,9393857,Jane,,Moreland,-37.7736,144.95464,Entire home/apt,110,2,6,2019-10-12,0.11,1,0,0,
13141129,Sunny 1 bedroom apt- with car spot!,73250640,Vonnie,,Yarra,-37.82454,144.99369,Entire home/apt,90,2,30,2017-01-29,0.41,1,0,0,
13141648,2 Bed home in one of Melbourne's Premium suburbs,73259764,Georgina,,Boroondara,-37.83446,145.08073,Entire home/apt,250,2,12,2019-09-23,0.18,1,0,0,
13253653,Double-Storey Home Near the CBD w/ an Outdoor Deck,74561626,Jim,,Yarra,-37.791431,144.971115,Entire home/apt,228,3,118,2022-05-23,1.63,1,321,16,
13253793,Bayside Family House,74563897,Sarah-Jane,,Bayside,-37.93122,145.01013,Entire home/apt,180,14,0,,,1,0,0,
12787845,Yarra Valley Golf and Wine Getaway,42976240,Peter,,Yarra Ranges,-37.7182,145.30398,Entire home/apt,211,2,155,2022-05-24,2.17,1,246,32,
13255592,"Great location, clean and modern",22595760,Jessica,,Darebin,-37.75027,145.00398,Entire home/apt,70,2,1,2016-06-12,0.01,1,0,0,
13142444,B House Warburton,41243748,James,,Yarra Ranges,-37.75529,145.71006,Entire home/apt,160,2,19,2020-12-25,0.40,1,124,0,
13143198,One Bedroom Apartment,73278217,Otto,,Yarra,-37.79714,144.97513,Entire home/apt,99,3,23,2017-10-02,0.31,1,0,0,
13155599,Fully equipped Apt minutes walk to Major Hospitals,52585557,Chris,,Melbourne,-37.80221,144.956,Entire home/apt,124,1,111,2022-05-30,1.55,5,358,21,
12796499,"在Glen Waverley中心校区,离购物中心、火车站、公共交通近",69699738,Yisong,,Monash,-37.88223,145.1822,Shared room,90,1,0,,,1,89,0,
13155671,Bedroom at a brand new house,70712474,Nadee,,Whitehorse,-37.81409,145.19204,Private room,164,1,0,,,1,87,0,
13155835,Southern Cross - Female Room Shared,53007452,Cherry,,Melbourne,-37.81461,144.95204,Shared room,31,1,1,2016-06-05,0.01,1,0,0,
13256124,Gorgeous 2-bedroom + study apartment,58252839,Sarah,,Bayside,-37.94983,145.04044,Entire home/apt,95,4,36,2019-06-25,0.49,1,0,0,
13264865,Private Bedroom in the heart of Melbourne CBD,55613183,Laval,,Melbourne,-37.8145,144.95973,Private room,30,1,16,2019-12-01,0.22,1,157,0,
12797012,Spacious Family Home close to CBD,9972143,Kate,,Moreland,-37.76551,144.9766,Entire home/apt,289,1,7,2016-11-26,0.10,1,0,0,
13265424,"Great location, great neighbourhood!",58133341,Benjamin,,Port Phillip,-37.86719,144.9919,Private room,50,1,0,,,1,0,0,
13158315,Luxury Southbank apartment living,73471827,Jess,,Melbourne,-37.82375,144.96347,Private room,45,1,1,2016-06-03,0.01,1,0,0,
